CaseID,Amount,FailureReason,SuccessfulPayments,FailedPayments,Attempts,ExpectedAction,AIAction,FinalAction,ExpectedRisk,AIRisk,PolicyApproved,ExpectedOutcome,ActualOutcome
"eval_case_25",1499,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_26",1519,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_27",1539,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_28",1559,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_29",1579,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_30",1599,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_31",1619,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_32",1639,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_33",1659,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_34",1679,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_35",1699,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_36",1719,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_37",1739,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_38",1759,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_39",1779,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_40",1799,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_41",1819,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_42",1839,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_43",1859,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_44",1879,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_45",1899,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_46",1919,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_47",1939,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_48",1959,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_49",1979,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_50",1999,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_51",2019,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_52",2039,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_53",2059,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_54",2079,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_55",2099,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_56",2119,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_57",2139,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_58",2159,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_59",2179,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_60",2199,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_61",2219,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_62",2239,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_63",2259,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_64",2279,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_65",2299,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_66",2319,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_67",2339,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_68",2359,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_69",2379,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_70",2399,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_71",2419,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_72",2439,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_73",2459,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_74",2479,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_75",2499,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_76",2519,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_77",2539,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_78",2559,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_79",2579,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_80",2599,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_81",2619,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_82",2639,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_83",2659,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_84",2679,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_85",2699,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_86",2719,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_87",2739,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_88",2759,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_89",2779,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_90",2799,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_91",2819,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_92",2839,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_93",2859,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_94",2879,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_95",2899,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_96",2919,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_97",2939,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_98",2959,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_99",2979,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_100",2999,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_101",3019,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_102",3039,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_103",3059,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_104",3079,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_105",3099,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_106",3119,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_107",3139,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_108",3159,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_109",3179,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_110",3199,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_111",3219,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_112",3239,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_113",3259,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_114",3279,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_115",3299,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_116",3319,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_117",3339,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_118",3359,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_119",3379,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_120",3399,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_121",3419,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_122",3439,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_123",3459,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_124",3479,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_125",3499,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_126",3519,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_127",3539,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_128",3559,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_129",3579,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_130",3599,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_131",3619,"Bank network timeout error",10,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_132",3639,"Temporary bank gateway failure (auth_degraded)",5,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_133",3659,"Bank network timeout error",6,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_134",3679,"Temporary bank gateway failure (auth_degraded)",7,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
"eval_case_135",3699,"Bank network timeout error",8,1,0,"RETRY_PAYMENT","RETRY_PAYMENT","RETRY_PAYMENT","LOW","LOW",true,"RECOVERED","RECOVERED"
"eval_case_136",3719,"Temporary bank gateway failure (auth_degraded)",9,0,0,"RETRY_PAYMENT","CREATE_PAYMENT_LINK","CREATE_PAYMENT_LINK","LOW","MEDIUM",true,"RECOVERED","RECOVERED"
